pub_time(ms) sub_time(ms) delay(ms) utmX(m) utmY(m) heading(rad) velocity(m/s) cellid(db) sinr(db) rsrp(db)
1721640303549 1721640303583 34 328973.640000 3463463.320000 2.577851 6.860000 5C4225714 4 -73 
1721640303653 1721640303676 23 328973.050000 3463463.700000 2.577851 6.960000 5C4225714 4 -73 
1721640303758 1721640303781 23 328972.690000 3463463.940000 2.585705 7.040000 5C4225714 4 -73 
1721640303862 1721640303886 24 328971.720000 3463464.550000 2.588105 7.180000 5C4225714 4 -73 
1721640303966 1721640303991 25 328971.120000 3463464.940000 2.588105 7.180000 5C4225714 4 -73 
1721640304070 1721640304094 24 328970.620000 3463465.230000 2.588105 7.180000 5C4225714 4 -73 
1721640304175 1721640304199 24 328969.950000 3463465.650000 2.590941 7.180000 5C4225714 4 -73 
1721640304279 1721640304303 24 328969.340000 3463466.030000 2.602722 7.120000 5C4225714 4 -73 
1721640304384 1721640304406 22 328968.730000 3463466.390000 2.602722 7.120000 5C4225714 4 -73 
1721640304488 1721640304511 23 328968.100000 3463466.750000 2.612540 7.120000 5C4225714 4 -73 
1721640304592 1721640304612 20 328967.370000 3463467.180000 2.612540 7.040000 5C4225714 4 -73 
1721640304697 1721640304713 16 328966.870000 3463467.460000 2.624757 7.020000 5C4225714 4 -73 
1721640304801 1721640304819 18 328966.200000 3463467.830000 2.624757 6.940000 5C4225714 4 -73 
1721640304905 1721640304925 20 328965.580000 3463468.150000 2.641338 6.880000 5C4225714 4 -73 
1721640305010 1721640305027 17 328964.910000 3463468.520000 2.641338 6.880000 5C4225714 4 -73 
1721640305114 1721640305133 19 328964.240000 3463468.860000 2.662500 6.860000 5C4225714 4 -73 
1721640305219 1721640305239 20 328963.560000 3463469.200000 2.662500 6.860000 5C4225714 4 -73 
1721640305323 1721640305340 17 328963.070000 3463469.440000 2.671881 6.860000 5C4225714 4 -73 
1721640305427 1721640305453 26 328962.200000 3463469.850000 2.671881 6.820000 5C4225714 4 -73 
1721640305532 1721640305548 16 328961.710000 3463470.080000 2.689989 6.840000 5C4225714 4 -73 
1721640305636 1721640305654 18 328960.770000 3463470.510000 2.689989 6.860000 5C4225714 4 -73 
1721640305740 1721640305765 25 328960.330000 3463470.700000 2.712896 6.840000 5C4225714 4 -73 
1721640305845 1721640305867 22 328959.630000 3463470.990000 2.712896 6.840000 5C4225714 4 -73 
1721640305949 1721640305968 19 328958.930000 3463471.280000 2.725113 6.840000 5C4225714 4 -73 
1721640306053 1721640306069 16 328958.350000 3463471.510000 2.725113 6.840000 5C4225714 4 -73 
1721640306157 1721640306176 19 328957.590000 3463471.800000 2.750421 6.820000 5C4225714 4 -73 
1721640306261 1721640306285 24 328957.140000 3463471.970000 2.750421 6.820000 5C4225714 4 -73 
1721640306366 1721640306386 20 328956.500000 3463472.220000 2.774637 6.820000 5C4225714 4 -73 
1721640306470 1721640306494 24 328955.710000 3463472.480000 2.774637 6.840000 5C4225714 4 -73 
1721640306574 1721640306596 22 328955.140000 3463472.690000 2.787291 6.860000 5C4225714 4 -73 
1721640306678 1721640306697 19 328954.420000 3463472.930000 2.787291 6.860000 5C4225714 4 -73 
1721640306782 1721640306799 17 328953.430000 3463473.240000 2.808235 6.840000 5C4225714 4 -73 
1721640306886 1721640306905 19 328953.100000 3463473.340000 2.808235 6.840000 5C4225714 4 -73 
