pub_time(ms) sub_time(ms) delay(ms) utmX(m) utmY(m) heading(rad) velocity(m/s) cellid(db) sinr(db) rsrp(db)
1721201578559 1721201578591 32 328968.400000 3463465.190000 2.684316 9.040000 5C4225714 8 -68 
1721201578615 1721201578638 23 328967.910000 3463465.420000 2.684316 9.040000 5C4225714 8 -68 
1721201578669 1721201578685 16 328967.500000 3463465.610000 2.700461 9.020000 5C4225714 8 -68 
1721201578724 1721201578743 19 328967.260000 3463465.740000 2.700461 9.000000 5C4225714 8 -68 
1721201578780 1721201578796 16 328966.680000 3463466.010000 2.700461 8.940000 5C4225714 8 -68 
1721201578835 1721201578850 15 328966.200000 3463466.230000 2.700461 8.900000 5C4225714 8 -68 
1721201578890 1721201578918 28 328965.790000 3463466.410000 2.717478 8.880000 5C4225714 8 -68 
1721201578944 1721201578961 17 328965.300000 3463466.640000 2.717478 8.820000 5C4225714 8 -68 
1721201578999 1721201579019 20 328964.660000 3463466.920000 2.717478 8.760000 5C4225714 8 -68 
1721201579056 1721201579072 16 328964.250000 3463467.090000 2.733404 8.760000 5C4225714 8 -68 
1721201579111 1721201579131 20 328963.850000 3463467.270000 2.733404 8.720000 5C4225714 8 -68 
1721201579166 1721201579185 19 328963.360000 3463467.470000 2.733404 8.680000 5C4225714 8 -68 
1721201579222 1721201579245 23 328963.200000 3463467.530000 2.733404 8.640000 5C4225714 8 -68 
1721201579277 1721201579295 18 328962.480000 3463467.830000 2.750203 8.620000 5C4225714 8 -68 
1721201579333 1721201579350 17 328962.160000 3463467.950000 2.750203 8.580000 5C4225714 8 -68 
1721201579388 1721201579407 19 328961.690000 3463468.140000 2.750203 8.540000 5C4225714 8 -68 
1721201579443 1721201579458 15 328961.290000 3463468.290000 2.750203 8.480000 5C4225714 8 -68 
1721201579498 1721201579514 16 328960.660000 3463468.540000 2.770928 8.440000 5C4225714 8 -68 
1721201579558 1721201579583 25 328960.340000 3463468.660000 2.770928 8.420000 5C4225714 8 -68 
1721201579612 1721201579629 17 328959.790000 3463468.860000 2.770928 8.340000 5C4225714 8 -68 
1721201579667 1721201579686 19 328959.400000 3463469.000000 2.786200 8.320000 5C4225714 8 -68 
1721201579722 1721201579743 21 328958.930000 3463469.170000 2.786200 8.320000 5C4225714 8 -68 
1721201579777 1721201579793 16 328958.690000 3463469.250000 2.786200 8.280000 5C4225714 8 -68 
1721201579832 1721201579847 15 328958.140000 3463469.440000 2.786200 8.240000 5C4225714 8 -68 
1721201579887 1721201579903 16 328957.670000 3463469.600000 2.805399 8.200000 5C4225714 8 -68 
1721201579943 1721201579959 16 328957.290000 3463469.720000 2.805399 8.160000 5C4225714 8 -68 
1721201580014 1721201580031 17 328956.660000 3463469.920000 2.805399 8.100000 5C4225714 8 -68 
1721201580068 1721201580091 23 328956.430000 3463469.990000 2.823725 8.060000 5C4225714 8 -68 
1721201580123 1721201580141 18 328955.820000 3463470.190000 2.823725 8.040000 5C4225714 8 -68 
1721201580178 1721201580195 17 328955.430000 3463470.300000 2.823725 8.020000 5C4225714 8 -68 
1721201580233 1721201580257 24 328955.130000 3463470.390000 2.823725 7.980000 5C4225714 8 -68 
1721201580289 1721201580308 19 328954.590000 3463470.540000 2.846632 7.920000 5C4225714 8 -68 
1721201580343 1721201580365 22 328954.210000 3463470.650000 2.846632 7.900000 5C4225714 8 -68 
1721201580398 1721201580413 15 328953.830000 3463470.750000 2.846632 7.880000 5C4225714 8 -68 
1721201580453 1721201580470 17 328953.450000 3463470.860000 2.865394 7.840000 5C4225714 8 -68 
1721201580508 1721201580527 19 328952.840000 3463471.010000 2.865394 7.780000 5C4225714 8 -68 
1721201580565 1721201580584 19 328952.390000 3463471.130000 2.865394 7.760000 5C4225714 8 -68 
1721201580621 1721201580643 22 328952.020000 3463471.220000 2.865394 7.720000 5C4225714 8 -68 
1721201580677 1721201580693 16 328951.640000 3463471.320000 2.883502 7.720000 5C4225714 8 -68 
1721201580734 1721201580754 20 328951.270000 3463471.410000 2.883502 7.680000 5C4225714 8 -68 
1721201580789 1721201580808 19 328950.820000 3463471.520000 2.883502 7.620000 5C4225714 8 -68 
